priority,reporter_experience,reproduction_steps,num_attachments,description_length,affected_users_count,prev_similar_tickets,auto_tag_count,sla_breached,resolution_time,affected_users_count_log,is_widespread,is_critical_impact,affects_users,impact_level,num_attachments_log,has_attachments,many_attachments,attachment_category,is_multi_category,tag_complexity,affected_users_count_is_outlier,affected_users_count_is_extreme,num_attachments_is_outlier,num_attachments_is_extreme,auto_tag_count_is_outlier,auto_tag_count_is_extreme,description_length_is_outlier,description_length_is_extreme,prev_similar_tickets_is_outlier,prev_similar_tickets_is_extreme,severity_score,is_critical_incident,documentation_score,impact_per_doc,priority_encoded,reporter_experience_encoded,module_version_frequency,product_area_frequency,product_area_Auth,product_area_Backend,product_area_Database,product_area_Devops,product_area_Ml,product_area_Security,product_area_Ui,customer_type_Free-Tier,customer_type_Internal,customer_type_Smb,ticket_type_Crash,ticket_type_Feature Request,ticket_type_Performance,ticket_type_Question,assigned_team_Qa,assigned_team_Security,assigned_team_Sre,assigned_team_Support
Low,Mid,0,0,615.0,12.0,0.0,5,0,21.0,2.5649493574615367,0,0,1,small_team,0.0,0,0,none,1,complex,0,0,0,0,0,0,0,0,0,0,2.255979742984615,0,0.4,2.5649493574615367,1.0,2,0.0012060301507537,0.1252261306532663,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Medium,Mid,1,1,711.0,6.0,1.0,1,0,13.0,1.9459101490553128,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.5389934957341147,0,1.0,1.1492858809898474,2.0,2,0.001608040201005,0.1298492462311558,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Medium,Mid,1,0,712.0,5.0,1.0,1,0,9.0,1.791759469228055,0,0,1,individual,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,2.3407037876912224,0,0.6000000000000001,1.791759469228055,2.0,2,0.0010050251256281,0.1252261306532663,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Low,Junior,0,1,636.0,10.0,1.0,2,0,26.0,2.3978952727983707,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.5697875452313377,0,0.8,1.4162355761684913,1.0,1,0.0012060301507537,0.1298492462311558,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
High,Mid,1,1,522.0,11.0,3.0,3,0,29.0,2.4849066497880004,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,2.7765920960271893,0,1.0,1.4676258970978588,3.0,2,0.0006030150753768,0.1298492462311558,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
Low,Senior,0,0,725.0,13.0,1.0,1,0,11.0,2.6390573296152584,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,2.705622931846104,0,0.4,2.6390573296152584,1.0,3,0.0022110552763819,0.1298492462311558,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
Medium,Mid,1,1,714.0,13.0,3.0,3,0,23.0,2.6390573296152584,0,0,1,small_team,0.6931471805599453,1,0,few,0,standard,0,0,0,0,0,0,0,0,0,0,3.222252367958093,0,1.0,1.558669771840206,2.0,2,0.0004020100502512,0.1214070351758793,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Medium,Mid,0,0,734.0,8.0,4.0,1,0,19.0,2.19722457733622,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,3.146889830934488,0,0.4,2.19722457733622,2.0,2,0.0010050251256281,0.12,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
High,Senior,0,1,687.0,7.0,1.0,0,0,6.0,2.079441541679836,0,0,1,small_team,0.6931471805599453,1,0,few,0,minimal,0,0,0,0,0,0,0,0,0,0,2.544406052783924,0,0.8,1.2281516725510762,3.0,3,0.0012060301507537,0.1298492462311558,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
Low,Mid,1,0,804.0,15.0,2.0,0,0,4.0,2.772588722239781,0,0,1,small_team,0.0,0,0,none,0,minimal,0,0,0,0,0,0,0,0,0,0,3.117035488895912,0,0.6000000000000001,2.772588722239781,1.0,2,0.0010050251256281,0.1214070351758793,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
