ticket_id,submitted_at,product_area,customer_type,priority,reporter_experience,reproduction_steps,num_attachments,description_length,affected_users_count,prev_similar_tickets,module_version,ticket_type,auto_tag_count,sla_breached,assigned_team,severity,resolved_at,resolution_time
TCKT-100000,2023-09-29 13:35:00,Auth,Internal,Medium,Senior,1,1,574.0,13.0,0.0,5.2.11,Bug,5,0,Qa,Medium,2023-09-30 19:35:00,30.0
TCKT-100001,2025-03-05 06:23:00,Devops,Internal,High,Junior,1,0,299.0,16.0,2.0,4.2.4,Question,3,1,Dev,Medium,2025-03-06 16:23:00,34.0
TCKT-100002,2023-07-25 18:40:00,Ml,Smb,Low,Junior,0,2,526.0,13.0,0.0,3.2.11,Bug,1,0,Qa,Low,2023-07-27 02:40:00,32.0
TCKT-100003,2023-10-18 22:03:00,Auth,Free-Tier,Low,Mid,1,2,734.0,7.0,0.0,4.8.4,Bug,2,0,Qa,Low,2023-10-20 03:03:00,29.0
TCKT-100004,2025-06-27 00:35:00,Backend,Enterprise,Medium,Mid,1,1,374.0,7.0,3.0,2.9.15,Bug,3,0,Security,Medium,2025-06-27 07:35:00,7.0
TCKT-100005,2023-03-15 02:18:00,Security,Enterprise,Urgent,Senior,1,2,436.0,6.0,1.0,5.3.14,Bug,4,1,Sre,High,2023-03-15 23:18:00,21.0
TCKT-100006,2024-03-10 08:32:00,Ml,Internal,Medium,Mid,1,2,535.0,5.0,0.0,2.5.5,Crash,2,0,Sre,Critical,2024-03-10 14:32:00,6.0
TCKT-100007,2024-11-27 16:54:00,Ml,Smb,Medium,Senior,1,1,491.0,12.0,1.0,2.3.14,Question,1,0,Support,Medium,2024-11-27 19:54:00,3.0
TCKT-100008,2025-02-10 14:19:00,Auth,Internal,Medium,Junior,1,2,597.5284210526315,10.0,1.003157894736842,5.8.4,Crash,1,0,Qa,Critical,2025-02-10 15:19:00,1.0
TCKT-100009,2023-06-30 09:07:00,Api,Internal,Urgent,Senior,0,0,436.0,4.0,0.0,1.5.13,Performance,3,0,Qa,High,2023-07-01 07:07:00,22.0
TCKT-100010,2023-07-29 20:35:00,Backend,Enterprise,High,Mid,1,2,541.0,14.0,3.0,5.1.13,Bug,2,1,Sre,High,2023-07-30 19:35:00,23.0
TCKT-100011,2023-09-17 16:08:00,Auth,Internal,Urgent,Senior,1,3,592.0,11.0,1.0,3.2.12,Performance,0,0,Support,Critical,2023-09-17 19:08:00,3.0
TCKT-100012,2023-03-04 17:14:00,Backend,Smb,Low,Junior,1,0,697.0,11.0,0.0,5.8.0,Feature Request,2,0,Dev,Low,2023-03-06 16:14:00,47.0
TCKT-100013,2024-09-17 23:59:00,Backend,Smb,Low,Mid,1,3,786.0,9.0,2.0,3.9.7,Bug,1,0,Qa,Medium,2024-09-18 05:59:00,6.0
TCKT-100014,2024-06-24 03:44:00,Security,Smb,Medium,Mid,1,1,560.0,7.0,1.0,5.2.2,Bug,4,0,Security,Medium,2024-06-24 06:44:00,3.0
