ticket_id,submitted_at,product_area,customer_type,priority,reporter_experience,reproduction_steps,num_attachments,description_length,affected_users_count,prev_similar_tickets,module_version,ticket_type,auto_tag_count,sla_breached,assigned_team,severity,resolved_at
TCKT-100000,9/29/2023 13:35,Auth,Internal,Medium,Senior,TRUE,1,574,13,0,5.2.11,Bug,5,No,QA,Medium,9/30/2023 19:35
TCKT-100001,3/5/2025 6:23,DevOps,Internal,High,Junior,TRUE,0,299,16,2,4.2.4,Question,3,Yes,Dev,Medium,3/6/2025 16:23
TCKT-100002,7/25/2023 18:40,ML,SMB,Low,Junior,FALSE,2,526,13,0,3.2.11,Bug,1,No,QA,Low,7/27/2023 2:40
TCKT-100003,10/18/2023 22:03,Auth,Free-tier,Low,Mid,TRUE,2,734,7,0,4.8.4,Bug,2,No,QA,Low,10/20/2023 3:03
TCKT-100004,6/27/2025 0:35,Backend,Enterprise,medium,Mid,TRUE,1,374,7,3,2.9.15,Bug,3,No,Security,Medium,6/27/2025 7:35
TCKT-100005,3/15/2023 2:18,Security,Enterprise,Urgent,Senior,TRUE,2,436,6,1,5.3.14,Bug,4,Yes,SRE,High,3/15/2023 23:18
TCKT-100006,3/10/2024 8:32,ML,Internal,Medium,Mid,TRUE,2,535,5,0,2.5.5,crash,2,No,SRE,Critical,3/10/2024 14:32
TCKT-100007,11/27/2024 16:54,ML,SMB,Medium,Senior,TRUE,1,491,12,1,2.3.14,Question,1,No,Support,Medium,11/27/2024 19:54
TCKT-100008,2/10/2025 14:19,Auth,Internal,Medium,Junior,TRUE,2,,,,5.8.4,Crash,1,No,QA,Critical,2/10/2025 15:19
TCKT-100009,6/30/2023 9:07,API,Internal,Urgent,Senior,FALSE,0,436,4,0,1.5.13,Performance,3,No,QA,High,7/1/2023 7:07
TCKT-100010,7/29/2023 20:35,Backend,Enterprise,High,Mid,TRUE,2,541,14,3,5.1.13,Bug,2,Yes,SRE,High,7/30/2023 19:35
TCKT-100011,9/17/2023 16:08,Auth,Internal,urgent,Senior,TRUE,3,592,11,1,3.2.12,Performance,0,No,Support,critical,9/17/2023 19:08
TCKT-100012,3/4/2023 17:14,Backend,SMB,Low,Junior,TRUE,0,697,11,0,5.8.0,Feature Request,2,No,Dev,Low,3/6/2023 16:14
TCKT-100013,9/17/2024 23:59,Backend,SMB,Low,Mid,TRUE,3,786,9,2,3.9.7,bug,1,No,QA,Medium,9/18/2024 5:59
TCKT-100014,6/24/2024 3:44,Security,SMB,Medium,Mid,TRUE,1,560,7,1,5.2.2,Bug,4,No,Security,Medium,6/24/2024 6:44
TCKT-100015,3/11/2024 4:10,ML,Free-tier,High,Mid,FALSE,2,883,10,2,2.2.17,Feature Request,3,No,SRE,Medium,3/12/2024 15:10
TCKT-100016,5/13/2023 1:04,DevOps,Enterprise,Low,Mid,FALSE,1,572,12,0,3.1.7,Bug,5,No,Support,Low,5/14/2023 22:04
TCKT-100017,3/25/2023 16:52,Security,SMB,Low,Senior,TRUE,3,724,12,2,4.4.13,Feature Request,3,No,QA,Low,3/26/2023 1:52
TCKT-100018,11/2/2024 2:57,Security,SMB,High,Mid,FALSE,2,889,13,1,3.7.19,Bug,0,No,Support,High,11/3/2024 0:57
TCKT-100019,6/30/2025 6:41,Backend,Internal,Low,Mid,TRUE,1,620,11,1,1.0.11,Question,2,No,Security,Low,7/1/2025 21:41
TCKT-100020,2/21/2025 9:17,Database,smb,medium,Junior,TRUE,2,393,5,0,5.6.9,Bug,0,No,Support,Low,2/21/2025 22:17
